date|team|rank|state|payroll|payroll_adjusted
brooklyn_nets|2014-2015|"
								1.
							"|"

									Brooklyn								
"|"
									$87,817,289								"|"
									$94,375,678								"
los_angeles_clippers|2014-2015|"
								2.
							"|"

									LA Clippers								
"|"
									$85,259,447								"|"
									$91,626,808								"
dallas_mavericks|2014-2015|"
								3.
							"|"

									Dallas								
"|"
									$84,820,225								"|"
									$91,154,782								"
cleveland_cavaliers|2014-2015|"
								4.
							"|"

									Cleveland								
"|"
									$82,592,827								"|"
									$88,761,039								"
new_york_knicks|2014-2015|"
								5.
							"|"

									New York								
"|"
									$81,369,219								"|"
									$87,446,049								"
toronto_raptors|2014-2015|"
								6.
							"|"

									Toronto								
"|"
									$81,317,963								"|"
									$87,390,965								"
oklahoma_city_thunder|2014-2015|"
								7.
							"|"

									Oklahoma City								
"|"
									$80,408,520								"|"
									$86,413,604								"
new_orleans_pelicans|2014-2015|"
								8.
							"|"

									New Orleans								
"|"
									$80,012,866								"|"
									$85,988,398								"
los_angeles_lakers|2014-2015|"
								9.
							"|"

									LA Lakers								
"|"
									$77,546,500								"|"
									$83,337,839								"
houston_rockets|2014-2015|"
								10.
							"|"

									Houston								
"|"
									$76,849,302								"|"
									$82,588,574								"
miami_heat|2014-2015|"
								11.
							"|"

									Miami								
"|"
									$75,813,041								"|"
									$81,474,926								"
memphis_grizzlies|2014-2015|"
								12.
							"|"

									Memphis								
"|"
									$75,158,730								"|"
									$80,771,746								"
indiana_pacers|2014-2015|"
								13.
							"|"

									Indiana								
"|"
									$74,793,526								"|"
									$80,379,271								"
golden_state_warriors|2014-2015|"
								14.
							"|"

									Golden State								
"|"
									$73,611,166								"|"
									$79,108,608								"
sacramento_kings|2014-2015|"
								15.
							"|"

									Sacramento								
"|"
									$73,379,071								"|"
									$78,859,179								"
washington_wizards|2014-2015|"
								16.
							"|"

									Washington								
"|"
									$73,372,974								"|"
									$78,852,628								"
san_antonio_spurs|2014-2015|"
								17.
							"|"

									San Antonio								
"|"
									$70,770,209								"|"
									$76,055,480								"
portland_trail_blazers|2014-2015|"
								18.
							"|"

									Portland								
"|"
									$69,936,842								"|"
									$75,159,876								"
minnesota_timberwolves|2014-2015|"
								19.
							"|"

									Minnesota								
"|"
									$69,378,954								"|"
									$74,560,321								"
chicago_bulls|2014-2015|"
								20.
							"|"

									Chicago								
"|"
									$67,414,682								"|"
									$72,449,358								"
detroit_pistons|2014-2015|"
								21.
							"|"

									Detroit								
"|"
									$67,410,675								"|"
									$72,445,049								"
charlotte_hornets|2014-2015|"
								22.
							"|"

									Charlotte								
"|"
									$66,792,937								"|"
									$71,781,177								"
boston_celtics|2014-2015|"
								23.
							"|"

									Boston								
"|"
									$62,218,516								"|"
									$66,865,124								"
utah_jazz|2014-2015|"
								24.
							"|"

									Utah								
"|"
									$60,847,538								"|"
									$65,391,761								"
orlando_magic|2014-2015|"
								25.
							"|"

									Orlando								
"|"
									$59,629,210								"|"
									$64,082,446								"
atlanta_hawks|2014-2015|"
								26.
							"|"

									Atlanta								
"|"
									$58,320,278								"|"
									$62,675,759								"
phoenix_suns|2014-2015|"
								27.
							"|"

									Phoenix								
"|"
									$58,018,672								"|"
									$62,351,628								"
denver_nuggets|2014-2015|"
								28.
							"|"

									Denver								
"|"
									$56,820,307								"|"
									$61,063,768								"
milwaukee_bucks|2014-2015|"
								29.
							"|"

									Milwaukee								
"|"
									$54,473,275								"|"
									$58,541,453								"
philadelphia_76ers|2014-2015|"
								30.
							"|"

									Philadelphia								
"|"
									$54,355,571								"|"
									$58,414,953								"
