date|team|avg_price
2015-16|New York Knicks|129.38
2015-16|Los Angeles Lakers|103.27
2015-16|Chicago Bulls|82.33
2015-16|Golden State Warriors|79.84
2015-16|Los Angeles Clippers|79.83
2015-16|Miami Heat|76.73
2015-16|Houston Rockets|67.24
2015-16|Boston Celtics|66.49
2015-16|Brooklyn Nets|66.15
2015-16|Phoenix Suns|56.1
2015-16|Oklahoma City Thunder|55.1
2015-16|San Antonio Spurs|54.88
2015-16|Portland Trail Blazers|53.43
2015-16|Denver Nuggets|52.38
2015-16|Washington Wizards|51.21
2015-16|Milwaukee Bucks|50.3
2015-16|Dallas Mavericks|49.76
2015-16|Cleveland Cavaliers|48.12
2015-16|Toronto Raptors|48.11
2015-16|Sacramento Kings|47.89
2015-16|Utah Jazz|43.19
2015-16|Orlando Magic|39.4
2015-16|Indiana Pacers|38.97
2015-16|Philadelphia 76ers|38.46
2015-16|Minnesota Timberwolves|37.27
2015-16|Atlanta Hawks|36.82
2015-16|Memphis Grizzlies|31.48
2015-16|Detroit Pistons|31.42
2015-16|Charlotte Hornets|30.6
2015-16|New Orleans Pelicans|30.2
